pid,volume,image_number,head,entry,topic,first_letter,xref,see,page,add,type,index,insertion_xref,insertion,item,unparsed,line,selection,full_image,annotation_uri,order,thumbnail,full,label,location
alpha_0278,Volume 1,453,,Element,Element,E,<a href='/New_Beehive/toc/toc2_375/'>2092 [Element]</a>,,,,,<a href='/New_Beehive/index2/index_1223/'>element</a>,,,#item-741f9b803,,Entry: Element|Topic: Element|Xref: 2092 [Element]|Index: element|#item-741f9b803,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/362,1061,3125,415/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518438316,278,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/362,1061,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/362,1061,3125,415/full/0/default.jpg",Element,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0279,Volume 1,453,,Eloquence,Eloquence,E,<a href='/New_Beehive/alpha2/alpha_0307/'>fair words</a>|<a href='/New_Beehive/toc/toc2_326/'>1659 [Eloquence]</a>,,,,,<a href='/New_Beehive/index2/index_1230/'>eloquence</a>,,,#item-eec917b43,,Entry: Eloquence|Topic: Eloquence|Xref: fair words|Xref: 1659 [Eloquence]|Index: eloquence|#item-eec917b43,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/400,1436,3075,476/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508253342531,279,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/400,1436,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/400,1436,3075,476/full/0/default.jpg",Eloquence,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0280,Volume 1,453,,Empire,Empire,E,Kingdom,,,,,<a href='/New_Beehive/index2/index_1241/'>empire</a>,,,#item-3af6ee29e,,Entry: Empire|Topic: Empire|Xref: Kingdom|Index: empire|#item-3af6ee29e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/377,1889,3092,305/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518529825,280,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/377,1889,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/377,1889,3092,305/full/0/default.jpg",Empire,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0281,Volume 1,453,,End,End,E,<a href='/New_Beehive/alpha3/alpha_0509/'>Last</a>|<a href='/New_Beehive/alpha5/alpha_1047/'>World's End</a>|<a href='/New_Beehive/toc/toc2_161/'>868 [End]</a>,,,,,<a href='/New_Beehive/index2/index_1249/'>end</a>,,,#item-3f317cb7d,,Entry: End|Topic: End|Xref: Last|Xref: World's End|Xref: 868 [End]|Index: end|#item-3f317cb7d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/365,2131,3102,716/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518815699,281,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/365,2131,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/365,2131,3102,716/full/0/default.jpg",End,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0282,Volume 1,453,,England,England,E,<a href='/New_Beehive/toc/toc2_263/'>1347 [England]</a>,,,,,<a href='/New_Beehive/index2/index_1254/'>England</a>,,,#item-04417cb2f,,Entry: England|Topic: England|Xref: 1347 [England]|Index: England|#item-04417cb2f,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/354,2756,3092,623/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518868399,282,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/354,2756,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/354,2756,3092,623/full/0/default.jpg",England,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0283,Volume 1,453,,Enmity,Enmity,E,<a href='/New_Beehive/alpha2/alpha_0400/'>Hatred</a>|<a href='/New_Beehive/alpha3/alpha_0555/'>Love of enemies</a>,,,,,<a href='/New_Beehive/index2/index_1266/'>enmity</a>,,,#item-a6c8131c3,,Entry: Enmity|Topic: Enmity|Xref: Hatred|Xref: Love of enemies|Xref: 858 [PAGE_MISSING]|Index: enmity|#item-a6c8131c3,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/385,3276,3066,698/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518983364,283,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/385,3276,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/385,3276,3066,698/full/0/default.jpg",Enmity,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0284,Volume 1,453,,Envy,Envy,E,730 [PAGE_MISSING],,,,,<a href='/New_Beehive/index2/index_1277/'>envy</a>,,,#item-4aae041fe,,Entry: Envy|Topic: Envy|Xref: 730 [PAGE_MISSING]|Index: envy|#item-4aae041fe,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/421,3869,3020,691/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564519087432,284,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/421,3869,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/421,3869,3020,691/full/0/default.jpg",Envy,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0285,Volume 1,453,,Epicurism,Epicurism,E,<a href='/New_Beehive/alpha4/alpha_0795/'>Revelling</a>|<a href='/New_Beehive/alpha2/alpha_0304/'>lust of the eye</a>|<a href='/New_Beehive/alpha4/alpha_0707/'>Pleasure</a>|<a href='/New_Beehive/alpha5/alpha_1048/'>Worldly</a>|<a href='/New_Beehive/toc/toc2_211/'>1087 [Epicures]</a>,,,,,<a href='/New_Beehive/index2/index_1280/'>epicurism</a>,,,#item-42a12e4a4,,Entry: Epicurism|Topic: Epicurism|Xref: Revelling|Xref: lust of the eye|Xref: Pleasure|Xref: Worldly|Xref: 1087 [Epicures]|Index: epicurism|#item-42a12e4a4,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/367,4513,3112,601/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564519197982,285,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/367,4513,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/367,4513,3112,601/full/0/default.jpg",Epicurism,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0286,Volume 1,454,,Epitaph,Epitaph,E,<a href='/New_Beehive/alpha3/alpha_0478/'>Inscriptions</a>|<a href='/New_Beehive/toc/toc2_084/'>245 [Epitaphs]</a>,,,,,<a href='/New_Beehive/index2/index_1285/'>epitaphs</a>,,,#item-1a230df78,,Entry: Epitaph|Topic: Epitaph|Xref: Inscriptions|Xref: 245 [Epitaphs]|Index: epitaphs|#item-1a230df78,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/786,236,3024,518/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564584640313,286,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/786,236,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/786,236,3024,518/full/0/default.jpg",Epitaph,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0287,Volume 1,454,,Equality,Equality,E,<a href='/New_Beehive/alpha3/alpha_0469/'>Inequ.y</a>|<a href='/New_Beehive/toc/toc2_219/'>1129 [Equality]</a>,,,,,<a href='/New_Beehive/index2/index_1286/'>equality</a>,,,#item-52585936e,,Entry: Equality|Topic: Equality|Xref: Inequ.y|Xref: 1129 [Equality]|Index: equality|#item-52585936e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/767,612,3017,572/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564584882409,287,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/767,612,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/767,612,3017,572/full/0/default.jpg",Equality,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0288,Volume 1,454,,Equanimity,Equanimity,E,<a href='/New_Beehive/alpha1/alpha_0174/'>Contentmt</a>|<a href='/New_Beehive/alpha4/alpha_0684/'>Patience</a>|<a href='/New_Beehive/alpha2/alpha_0306/'>faintheartedness</a>,,,,,<a href='/New_Beehive/index2/index_1287/'>equanimity</a>,,,#item-ab4bc8710,,Entry: Equanimity|Topic: Equanimity|Xref: Contentmt|Xref: Patience|Xref: faintheartedness|Xref: 4560 [PAGE_MISSING]|Index: equanimity|#item-ab4bc8710,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/778,1011,2980,504/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564584969218,288,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/778,1011,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/778,1011,2980,504/full/0/default.jpg",Equanimity,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0289,Volume 1,454,,Equity,Equity,E,<a href='/New_Beehive/alpha3/alpha_0495/'>Justice</a>|<a href='/New_Beehive/alpha3/alpha_0519/'>Law</a>|<a href='/New_Beehive/alpha4/alpha_0801/'>Right</a>,,,,,<a href='/New_Beehive/index2/index_1290/'>equity</a>,,,#item-814bcd187,,Entry: Equity|Topic: Equity|Xref: Justice|Xref: Law|Xref: Right|Index: equity|#item-814bcd187,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/766,1367,2895,301/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564585108076,289,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/766,1367,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/766,1367,2895,301/full/0/default.jpg",Equity,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0290,Volume 1,454,,Equivocation,Equivocation,E,<a href='/New_Beehive/toc/toc2_302/'>1540 [Equivocation]</a>,,,,,<a href='/New_Beehive/index2/index_1291/'>equivocation</a>,,,#item-5de478888,,Entry: Equivocation|Topic: Equivocation|Xref: 1540 [Equivocation]|Index: equivocation|#item-5de478888,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/737,1801,2962,551/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564585196356,290,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/737,1801,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/737,1801,2962,551/full/0/default.jpg",Equivocation,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0291,Volume 1,454,,Error,Error,E,<a href='/New_Beehive/alpha2/alpha_0317/'>fault</a>|infallibility|mistake|<a href='/New_Beehive/alpha5/alpha_0976/'>vagabonds</a>,,,,,<a href='/New_Beehive/index2/index_1296/'>error</a>,,,#item-fbe8e139a,,Entry: Error|Topic: Error|Xref: fault|Xref: infallibility|Xref: mistake|Xref: vagabonds|XRef: 759 [PAGE_MISSING]|Index: error|#item-fbe8e139a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/753,2250,2965,609/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564585512942,291,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/753,2250,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/753,2250,2965,609/full/0/default.jpg",Error,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0292,Volume 1,454,,Eternity,Eternity,E,Always|Immortality|<a href='/New_Beehive/toc/toc2_222/'>1142 [Eternity]</a>,,,,,<a href='/New_Beehive/index2/index_1309/'>eternity</a>,,,#item-d1772fc49,,Entry: Eternity|Topic: Eternity|Xref: Always|Xref: Immortality|Xref: 1142 [Eternity]|Index: eternity|#item-d1772fc49,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/771,2746,2954,642/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564586305963,292,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/771,2746,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/771,2746,2954,642/full/0/default.jpg",Eternity,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0293,Volume 1,454,,Examination,Examination,E,<a href='/New_Beehive/alpha4/alpha_0741/'>proof</a>|<a href='/New_Beehive/toc/toc2_061/'>47 [Try & Prove]</a>|Self-examination|<a href='/New_Beehive/toc/toc2_277/'>1416 [To Examine]</a>,,,,,<a href='/New_Beehive/index2/index_1328/'>examination</a>,,,#item-3baec17f6,,Entry: Examination|Topic: Examination|Xref: proof|Xref: 47 [Try & Prove]|Xref: Self-examination|Xref: 1416 [To Examine]|Index: examination|#item-3baec17f6,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/783,3300,2976,674/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564586422391,293,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/783,3300,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/783,3300,2976,674/full/0/default.jpg",Examination,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0294,Volume 1,454,,Example,Example,E,<a href='/New_Beehive/alpha3/alpha_0457/'>Imitation</a>|<a href='/New_Beehive/toc/toc2_090/'>290 [Example]</a>,,,,,<a href='/New_Beehive/index2/index_1329/'>example</a>,,,#item-c5b1d56a6,,Entry: Example|Topic: Example|Xref: Imitation|Xref: 290 [Example]|Index: example|#item-c5b1d56a6,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/687,3900,3070,543/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564586535291,294,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/687,3900,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/687,3900,3070,543/full/0/default.jpg",Example,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0295,Volume 1,454,,Excuse,Excuse,E,756 [PAGE_MISSING],,,,,<a href='/New_Beehive/index2/index_1339/'>excuse</a>,,,#item-93f4f440a,,Entry: Excuse|Topic: Excuse|XRef: 756 [PAGE_MISSING]|Index: excuse|#item-93f4f440a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/703,4364,3055,695/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564586615347,295,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/703,4364,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0453/703,4364,3055,695/full/0/default.jpg",Excuse,<a href='/New_Beehive/toc/toc1_444/'>Full Page</a>
alpha_0296,Volume 1,455,,Execution,Execution,E,,,,,,<a href='/New_Beehive/index2/index_1343/'>execution</a>,,,#item-a147ed4b8,,Entry: Execution|Topic: Execution|Index: execution|#item-a147ed4b8,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/349,229,3132,376/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564587114145,296,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/349,229,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/349,229,3132,376/full/0/default.jpg",Execution,<a href='/New_Beehive/toc/toc1_445/'>Full Page</a>
alpha_0297,Volume 1,455,,Exercise,Exercise,E,<a href='/New_Beehive/toc/toc2_262/'>1345 [Exercise]</a>,,,,,<a href='/New_Beehive/index2/index_1346/'>exercise</a>,,,#item-d845c95d0,,Entry: Exercise|Topic: Exercise|XRef: 1345 [Exercise]|Index: exercise|#item-d845c95d0,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/384,547,3103,303/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564587146356,297,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/384,547,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0454/384,547,3103,303/full/0/default.jpg",Exercise,<a href='/New_Beehive/toc/toc1_445/'>Full Page</a>
